"New_Name","Biol","Probability_Threshold","Alteration - Biology"
"I01-010","ASCI","Threshold50","Altered"
"I01-010","CSCI","Threshold50","Unaltered"
"I01-011","ASCI","Threshold50","Altered"
"I01-011","CSCI","Threshold50","Unaltered"
"I01-012","ASCI","Threshold50","Altered"
"I01-012","CSCI","Threshold50","Unaltered"
"I01-020","ASCI","Threshold50","Unaltered"
"I01-020","CSCI","Threshold50","Unaltered"
"J01-010","ASCI","Threshold50","Altered"
"J01-010","CSCI","Threshold50","Altered"
"J01-020","ASCI","Threshold50","Altered"
"J01-020","CSCI","Threshold50","Altered"
"J01-030","ASCI","Threshold50","Unaltered"
"J01-030","CSCI","Threshold50","Unaltered"
"J01-031","ASCI","Threshold50","Unaltered"
"J01-031","CSCI","Threshold50","Unaltered"
"J01-040","ASCI","Threshold50","Altered"
"J01-040","CSCI","Threshold50","Altered"
"J01-041","ASCI","Threshold50","Altered"
"J01-041","CSCI","Threshold50","Altered"
"J01-050","ASCI","Threshold50","Altered"
"J01-050","CSCI","Threshold50","Unaltered"
"J01-060","ASCI","Threshold50","Altered"
"J01-060","CSCI","Threshold50","Unaltered"
"J01-061","ASCI","Threshold50","Altered"
"J01-061","CSCI","Threshold50","Altered"
"J01-062","ASCI","Threshold50","Altered"
"J01-062","CSCI","Threshold50","Unaltered"
"J01-070","ASCI","Threshold50","Altered"
"J01-070","CSCI","Threshold50","Unaltered"
"J01-080","ASCI","Threshold50","Altered"
"J01-080","CSCI","Threshold50","Unaltered"
"J01-090","ASCI","Threshold50","Altered"
"J01-090","CSCI","Threshold50","Altered"
"J01-091","ASCI","Threshold50","Altered"
"J01-091","CSCI","Threshold50","Unaltered"
"J01-100","ASCI","Threshold50","Altered"
"J01-100","CSCI","Threshold50","Unaltered"
"J03-010","ASCI","Threshold50","Altered"
"J03-010","CSCI","Threshold50","Altered"
"J04-010","ASCI","Threshold50","Altered"
"J04-010","CSCI","Threshold50","Altered"
"J05-010","ASCI","Threshold50","Altered"
"J05-010","CSCI","Threshold50","Unaltered"
"J07-010","ASCI","Threshold50","Altered"
"J07-010","CSCI","Threshold50","Unaltered"
"K01-010","ASCI","Threshold50","Altered"
"K01-010","CSCI","Threshold50","Unaltered"
"K01-020","ASCI","Threshold50","Altered"
"K01-020","CSCI","Threshold50","Unaltered"
"K01-030","ASCI","Threshold50","Altered"
"K01-030","CSCI","Threshold50","Unaltered"
"L03-010","ASCI","Threshold50","Altered"
"L03-010","CSCI","Threshold50","Unaltered"
"L03-011","ASCI","Threshold50","Altered"
"L03-011","CSCI","Threshold50","Unaltered"
"L03-020","ASCI","Threshold50","Altered"
"L03-020","CSCI","Threshold50","Unaltered"
"L03-030","ASCI","Threshold50","Altered"
"L03-030","CSCI","Threshold50","Unaltered"
"L04-010","ASCI","Threshold50","Altered"
"L04-010","CSCI","Threshold50","Unaltered"
"L05-010","ASCI","Threshold50","Altered"
"L05-010","CSCI","Threshold50","Unaltered"
"L05-020","ASCI","Threshold50","Altered"
"L05-020","CSCI","Threshold50","Unaltered"
"M02-010","ASCI","Threshold50","Altered"
"M02-010","CSCI","Threshold50","Altered"
"M02-011","ASCI","Threshold50","Altered"
"M02-011","CSCI","Threshold50","Altered"
"M02-020","ASCI","Threshold50","Altered"
"M02-020","CSCI","Threshold50","Altered"
"M02-030","ASCI","Threshold50","Altered"
"M02-030","CSCI","Threshold50","Unaltered"
